Identificativo;Tipologia;Essenza;Disposizione;Posizione;Portamento;EssenzaStorica;DataCensimento;AltezzaPrimoPalco;RangeAltezza;RangeDiametroFusto;Suolo;StatoVegetativo;QualitaBiomeccanica;ClassificazioneCedimento;Interferenze;TipoFoglia;CoordX;CoordY
2116;Albero;Tilia X Americana;Filare;Tornello con cordolo;;No;2023-08-07;3;2) 10 - 16m;2) 20cm< & <=50cm;Ricoperto;Buono;Mediocre;C;"Sede Stradale; Marciapiede; Utenze Sotterranee;";Caduca;1470364.98094;4975202.5518
2117;Ceppaia;Tilia X Americana;Filare;Tornello con cordolo;;No;2009-08-03;;;2) 20cm< & <=50cm;Ricoperto;;;;"Lampione; Sede Stradale; Marciapiede; Utenze Sotterranee;";Caduca;1470363.32878;4975195.17562
2118;Albero;Tilia X Americana;Filare;Tornello con cordolo;;No;2020-12-23;4;2) 10 - 16m;2) 20cm< & <=50cm;Ricoperto;Buono;Buono;;"Cartellonistica; Lampione; Sede Stradale; Marciapiede; Utenze Sotterranee;";Caduca;1470361.67662;4975187.79943
2119;Albero;Tilia X Americana;Filare;Tornello con cordolo;;No;2020-12-23;3;1) < 10m;1) <= 20cm;Ricoperto;Buono;Buono;;"Sede Stradale; Marciapiede; Utenze Sotterranee;";Caduca;1470360.02446;4975180.42324
2120;Albero;Tilia X Americana;Filare;Tornello con cordolo;;No;2020-12-23;3;1) < 10m;1) <= 20cm;Ricoperto;Buono;Buono;;"Sede Stradale; Marciapiede; Utenze Sotterranee;";Caduca;1470358.3723;4975173.04706
2121;Albero;Tilia X Americana;Filare;Tornello con cordolo;;No;2020-12-23;4;1) < 10m;1) <= 20cm;Ricoperto;Buono;Buono;;"Lampione; Sede Stradale; Marciapiede; Utenze Sotterranee;";Caduca;1470356.72013;4975165.67087
2122;Albero;Tilia X Americana;Filare;Tornello con cordolo;;No;2020-12-23;3;1) < 10m;1) <= 20cm;Ricoperto;Buono;Buono;;"Cartellonistica; Lampione; Sede Stradale; Marciapiede; Utenze Sotterranee;";Caduca;1470355.06797;4975158.29468
2123;Albero;Tilia X Americana;Filare;Tornello con cordolo;;No;2020-12-23;5;2) 10 - 16m;2) 20cm< & <=50cm;Ricoperto;Buono;Mediocre;;"Cartellonistica; Sede Stradale; Marciapiede; Utenze Sotterranee;";Caduca;1470353.41581;4975150.9185
2124;Albero;Tilia X Americana;Filare;Tornello con cordolo;;No;2020-12-23;3;2) 10 - 16m;2) 20cm< & <=50cm;Ricoperto;Buono;Buono;;"Sede Stradale; Marciapiede; Utenze Sotterranee;";Caduca;1470351.76365;4975143.54231
2125;Albero;Tilia X Americana;Filare;Tornello con cordolo;;No;2020-12-23;4;1) < 10m;1) <= 20cm;Ricoperto;Buono;Buono;;"Lampione; Sede Stradale; Marciapiede; Utenze Sotterranee;";Caduca;1470350.11149;4975136.16612
