CodiceVia;DUG;DUF;CAP;QuartiereSobborgo;Civico;Esponente;InizioValidita;SezCensimento;CoordX;CoordY
8305;VIA;CAMILLO CAVOUR;15121;CENTRO;57;;2001-08-31;481;1469688.44054901;4973019.89459644
15501;VIA;GIOVANNI LANZA;15121;CENTRO;2;;2001-08-31;481;1469597.65485755;4973020.80325229
8305;VIA;CAMILLO CAVOUR;15121;CENTRO;55;;2001-08-31;481;1469689.34916429;4973023.70308742
8305;VIA;CAMILLO CAVOUR;15121;CENTRO;53;;2001-08-31;481;1469690.26315587;4973027.2674943
8305;VIA;CAMILLO CAVOUR;15121;CENTRO;51;;2001-08-31;481;1469691.66945438;4973033.57990144
8305;VIA;CAMILLO CAVOUR;15121;CENTRO;45;;2001-08-31;481;1469703.25305146;4973048.29769983
8305;VIA;CAMILLO CAVOUR;15121;CENTRO;43;;2001-08-31;481;1469704.53151572;4973054.17048779
8305;VIA;CAMILLO CAVOUR;15121;CENTRO;41;;2001-08-31;481;1469707.66265355;4973066.29938388
10506;VIA;JACOPO DAL VERME;15121;CENTRO;14;;2006-04-26;481;1469590.15822359;4973084.52429603
10506;VIA;JACOPO DAL VERME;15121;CENTRO;12;;2006-04-26;481;1469587.95775402;4973085.74674531
10506;VIA;JACOPO DAL VERME;15121;CENTRO;10;;2006-04-26;481;1469585.02379459;4973087.35338714
10506;VIA;JACOPO DAL VERME;15121;CENTRO;4;;2001-08-31;481;1469575.42831331;4973087.75953124
10506;VIA;JACOPO DAL VERME;15121;CENTRO;2;;2001-08-31;481;1469560.53291437;4973095.3913031
26202;VIA;SAN GIACOMO DELLA VITTORIA;15121;CENTRO;70;;2001-08-31;481;1469557.02241252;4973101.1651874
26202;VIA;SAN GIACOMO DELLA VITTORIA;15121;CENTRO;68;;2001-08-31;481;1469559.06222197;4973106.6203483
26202;VIA;SAN GIACOMO DELLA VITTORIA;15121;CENTRO;66;;2001-08-31;481;1469561.31048991;4973112.55276249
8305;VIA;CAMILLO CAVOUR;15121;CENTRO;39;;2001-08-31;481;1469720.6415328;4973115.39848971
26202;VIA;SAN GIACOMO DELLA VITTORIA;15121;CENTRO;64;;2001-08-31;481;1469563.14356534;4973117.56609283
26202;VIA;SAN GIACOMO DELLA VITTORIA;15121;CENTRO;62;;2001-08-31;481;1469566.76776075;4973127.14114416
26202;VIA;SAN GIACOMO DELLA VITTORIA;15121;CENTRO;60;;2001-08-31;481;1469569.71174242;4973135.0441048
26202;VIA;SAN GIACOMO DELLA VITTORIA;15121;CENTRO;58;;2003-09-03;481;1469571.63816262;4973139.60117986
26202;VIA;SAN GIACOMO DELLA VITTORIA;15121;CENTRO;56;;2001-08-31;481;1469573.44995601;4973144.88839727
26202;VIA;SAN GIACOMO DELLA VITTORIA;15121;CENTRO;54;;2003-09-03;481;1469580.04357416;4973162.43954724
26202;VIA;SAN GIACOMO DELLA VITTORIA;15121;CENTRO;52;;2001-08-31;481;1469581.23425254;4973168.11203246
26202;VIA;SAN GIACOMO DELLA VITTORIA;15121;CENTRO;50;;2001-08-31;481;1469582.43446625;4973172.65628554
26202;VIA;SAN GIACOMO DELLA VITTORIA;15121;CENTRO;48;;2001-08-31;481;1469583.35336751;4973177.04971815
33404;VIA;VENTIQUATTRO MAGGIO;15121;CENTRO;5;;2001-08-31;481;1469660.05152545;4973180.37383478
26202;VIA;SAN GIACOMO DELLA VITTORIA;15121;CENTRO;46;;2001-08-31;481;1469584.71265888;4973183.33029353
26202;VIA;SAN GIACOMO DELLA VITTORIA;15121;CENTRO;44;;2001-08-31;481;1469585.94918799;4973190.70039166
26202;VIA;SAN GIACOMO DELLA VITTORIA;15121;CENTRO;42;;2001-08-31;481;1469586.55206415;4973195.68710423
26202;VIA;SAN GIACOMO DELLA VITTORIA;15121;CENTRO;40;;2001-08-31;481;1469586.94420956;4973199.24794044
26202;VIA;SAN GIACOMO DELLA VITTORIA;15121;CENTRO;38;;2001-08-31;481;1469587.35660234;4973202.48025418
33404;VIA;VENTIQUATTRO MAGGIO;15121;CENTRO;3;;2001-08-31;481;1469613.88424881;4973214.71868481
33404;VIA;VENTIQUATTRO MAGGIO;15121;CENTRO;1;;2001-08-31;481;1469596.81686456;4973222.76834748
15703;VIA;LEGNANO;15121;CENTRO;3;;2001-08-31;485;1469490.8316175;4973070.59178259
15703;VIA;LEGNANO;15121;CENTRO;5;;2001-08-31;485;1469482.95511232;4973072.37945363
15703;VIA;LEGNANO;15121;CENTRO;7;;2001-08-31;485;1469478.87397184;4973073.39399219
15703;VIA;LEGNANO;15121;CENTRO;9;;2001-08-31;485;1469472.85401523;4973074.89568456
15703;VIA;LEGNANO;15121;CENTRO;13;;2001-08-31;485;1469464.70329837;4973076.46308953
27005;VIA;SAN LORENZO;15121;CENTRO;115;;2001-08-31;485;1469499.2839956;4973077.78125727
27005;VIA;SAN LORENZO;15121;CENTRO;113;;2001-08-31;485;1469499.25646488;4973082.59870764
27005;VIA;SAN LORENZO;15121;CENTRO;111;;2001-08-31;485;1469499.25646488;4973087.28069549
25401;CORSO;ROMA;15121;CENTRO;120;;2001-08-31;485;1469422.3795094;4973098.8618783
27005;VIA;SAN LORENZO;15121;CENTRO;107;;2001-08-31;485;1469499.03690889;4973099.75493274
27005;VIA;SAN LORENZO;15121;CENTRO;105;;2001-08-31;485;1469498.92696859;4973104.93365029
25401;CORSO;ROMA;15121;CENTRO;116;;2001-08-31;485;1469424.21871179;4973105.02985566
25401;CORSO;ROMA;15121;CENTRO;112;;2001-08-31;485;1469427.25281244;4973115.09812689
25401;CORSO;ROMA;15121;CENTRO;110;;2001-08-31;485;1469428.83770561;4973120.21873981
25401;CORSO;ROMA;15121;CENTRO;108;;2001-08-31;485;1469430.38218522;4973125.31019897
25401;CORSO;ROMA;15121;CENTRO;106;;2001-08-31;485;1469431.74770499;4973129.96974837
25401;CORSO;ROMA;15121;CENTRO;100;;2001-08-31;485;1469435.55031248;4973142.41943722
25401;CORSO;ROMA;15121;CENTRO;96;;2001-08-31;485;1469437.71375657;4973149.82132654
25401;CORSO;ROMA;15121;CENTRO;92;;2001-08-31;485;1469441.68633634;4973163.05264851
25401;CORSO;ROMA;15121;CENTRO;90;A;2001-08-31;485;1469443.34361685;4973168.48589845
25401;CORSO;ROMA;15121;CENTRO;90;;2001-08-31;485;1469444.77854163;4973173.12229932
25401;CORSO;ROMA;15121;CENTRO;88;A;2001-08-31;485;1469445.7919035;4973176.41363065
25401;CORSO;ROMA;15121;CENTRO;88;;2001-08-31;485;1469447.14652865;4973180.72094099
27005;VIA;SAN LORENZO;15121;CENTRO;87;;2001-08-31;485;1469505.59936477;4973181.20470671
27005;VIA;SAN LORENZO;15121;CENTRO;85;;2001-08-31;485;1469506.49128309;4973185.79022545
25401;CORSO;ROMA;15121;CENTRO;86;;2001-08-31;485;1469450.18071046;4973190.29694586
3201;VIA;BERGAMO;15121;CENTRO;30;;2001-08-31;485;1469494.15336044;4973201.99364816
3201;VIA;BERGAMO;15121;CENTRO;32;;2001-08-31;485;1469484.29837623;4973204.95883071
3201;VIA;BERGAMO;15121;CENTRO;36;;2001-08-31;485;1469474.79910032;4973207.70115034
3201;VIA;BERGAMO;15121;CENTRO;38;;2001-08-31;485;1469469.20496709;4973209.29119665
3201;VIA;BERGAMO;15121;CENTRO;40;;2001-08-31;485;1469462.26452676;4973211.22110637
14603;VIA;ANTONIO GRAMSCI;15121;CENTRO;67;;2001-08-31;491;1469167.5172454;4973053.77448766
9603;CORSO;CRIMEA;15121;CENTRO;69;;2001-08-31;491;1469150.85531545;4973054.54755927
9603;CORSO;CRIMEA;15121;CENTRO;71;;2001-08-31;491;1469147.71569726;4973055.42355156
9603;CORSO;CRIMEA;15121;CENTRO;73;;2001-08-31;491;1469139.72424067;4973057.60411867
14603;VIA;ANTONIO GRAMSCI;15121;CENTRO;65;;2001-08-31;491;1469169.52116549;4973060.44988646
9603;CORSO;CRIMEA;15121;CENTRO;91;;2001-08-31;491;1469043.16271727;4973083.70070747
14603;VIA;ANTONIO GRAMSCI;15121;CENTRO;59;A;2001-08-31;491;1469177.00929881;4973084.7459011
8206;CORSO;FELICE CAVALLOTTI;15121;CENTRO;72;;2001-08-31;491;1469023.3708059;4973092.7550082
8206;CORSO;FELICE CAVALLOTTI;15121;CENTRO;70;;2001-08-31;491;1469024.85135824;4973097.22403364
17701;VIA;GUGLIELMO MASSAIA;15121;CENTRO;2;B;2002-10-28;491;1469165.6025922;4973103.37294034
8206;CORSO;FELICE CAVALLOTTI;15121;CENTRO;68;;2001-08-31;491;1469031.61955403;4973118.24579938
17701;VIA;GUGLIELMO MASSAIA;15121;CENTRO;2;C;2002-10-28;491;1469162.78287411;4973120.19678826
8206;CORSO;FELICE CAVALLOTTI;15121;CENTRO;66;;2001-08-31;491;1469032.84731875;4973122.10253506
17701;VIA;GUGLIELMO MASSAIA;15121;CENTRO;2;A;2002-10-28;491;1469174.82564793;4973132.72403788
17701;VIA;GUGLIELMO MASSAIA;15121;CENTRO;2;D;2002-10-28;491;1469171.85046343;4973136.24269548
17701;VIA;GUGLIELMO MASSAIA;15121;CENTRO;2;;2002-10-28;491;1469179.92901611;4973149.69862514
23302;VIA;PIAVE;15121;CENTRO;16;;2001-08-31;490;1470335.77415681;4973142.50064981
23302;VIA;PIAVE;15121;CENTRO;14;;2001-08-31;490;1470322.50844679;4973147.70529534
9306;VIA;GIULIO CESARE CORDARA;15121;CENTRO;11;;2001-08-31;490;1470350.37649658;4973152.12376325
23302;VIA;PIAVE;15121;CENTRO;12;;2001-08-31;490;1470311.64336708;4973151.93579557
23302;VIA;PIAVE;15121;CENTRO;10;;2001-08-31;490;1470306.72230625;4973153.86730804
23302;VIA;PIAVE;15121;CENTRO;8;;2001-08-31;490;1470295.32866507;4973158.58585475
15202;VIA;ISONZO;15121;CENTRO;17;;2001-08-31;490;1470350.52275228;4973170.04567516
20507;VIA;MONTELLO;15121;CENTRO;8;;2001-08-31;490;1470283.55815528;4973171.95509407
15202;VIA;ISONZO;15121;CENTRO;15;;2001-08-31;490;1470340.70276475;4973173.92389576
15202;VIA;ISONZO;15121;CENTRO;13;;2004-01-16;490;1470339.0112585;4973174.34225318
15202;VIA;ISONZO;15121;CENTRO;11;;2004-01-16;490;1470327.18436855;4973179.17496008
20507;VIA;MONTELLO;15121;CENTRO;6;;2001-08-31;490;1470286.09830568;4973179.87763257
15202;VIA;ISONZO;15121;CENTRO;9;;2001-08-31;490;1470318.16932498;4973184.42813434
20507;VIA;MONTELLO;15121;CENTRO;4;;2001-08-31;490;1470290.11555947;4973187.56199075
15202;VIA;ISONZO;15121;CENTRO;7;;2001-08-31;490;1470305.78956862;4973189.24718745
20507;VIA;MONTELLO;15121;CENTRO;2;;2001-08-31;490;1470292.84700477;4973189.79739614
15202;VIA;ISONZO;15121;CENTRO;5;;2001-08-31;490;1470302.06060633;4973190.70306966
15202;VIA;ISONZO;15121;CENTRO;3;;2001-08-31;490;1470299.57720127;4973191.67275161
15202;VIA;ISONZO;15121;CENTRO;1;;2001-08-31;490;1470297.22936017;4973192.62005598
17006;VIA;MARENGO;15121;CENTRO;82;;2001-08-31;495;1470710.42480518;4973104.41434012
17006;VIA;MARENGO;15121;CENTRO;80;;2001-08-31;495;1470697.49021449;4973109.64755106
28903;VIA;ACHILLE SCLAVO;15121;GALIMBERTI;2;;2001-08-31;495;1470716.5587191;4973115.21464047
17006;VIA;MARENGO;15121;CENTRO;78;;2001-08-31;495;1470672.29877172;4973119.99108893
23504;VIA;CARLO PISACANE;15121;GALIMBERTI;1;;2001-08-31;495;1470660.62657725;4973132.9882476
20406;VIA;MONTEGRAPPA;15121;CENTRO;53;;2001-08-31;495;1470717.73842171;4973141.50865114
20406;VIA;MONTEGRAPPA;15121;CENTRO;51;;2001-08-31;495;1470701.41980413;4973148.11123655
20406;VIA;MONTEGRAPPA;15121;CENTRO;49;;2001-08-31;495;1470682.57462906;4973155.82513396
21102;VIA;GUGLIELMO OBERDAN;15121;CENTRO;50;;2001-08-31;507;1470426.99141314;4973049.98662951
13402;SPALTO;GAMONDIO;15121;CENTRO;20;A;2001-08-31;507;1470454.24475891;4973054.83761582
21102;VIA;GUGLIELMO OBERDAN;15121;CENTRO;48;;2001-08-31;507;1470409.37171025;4973058.75519501
13402;SPALTO;GAMONDIO;15121;CENTRO;20;B;2001-08-31;507;1470458.09260847;4973063.34158613
21102;VIA;GUGLIELMO OBERDAN;15121;CENTRO;46;;2001-08-31;507;1470391.86150133;4973067.66082577
21102;VIA;GUGLIELMO OBERDAN;15121;CENTRO;44;B;2001-08-31;507;1470377.23917795;4973074.98288209
21102;VIA;GUGLIELMO OBERDAN;15121;CENTRO;44;;2001-08-31;507;1470374.33175513;4973076.41249143
21102;VIA;GUGLIELMO OBERDAN;15121;CENTRO;44;A;2001-08-31;507;1470371.40854831;4973077.84981019
21102;VIA;GUGLIELMO OBERDAN;15121;CENTRO;42;;2001-08-31;507;1470353.90282302;4973086.65674017
23302;VIA;PIAVE;15121;CENTRO;45;;2001-08-31;507;1470429.71606198;4973092.47134234
23302;VIA;PIAVE;15121;CENTRO;43;;2001-08-31;507;1470423.2919495;4973094.9365897
23302;VIA;PIAVE;15121;CENTRO;41;;2001-08-31;507;1470409.30011415;4973100.40514064
9306;VIA;GIULIO CESARE CORDARA;15121;CENTRO;14;A;2001-08-31;507;1470343.49961834;4973110.59812178
23302;VIA;PIAVE;15121;CENTRO;39;;2001-08-31;507;1470374.27221006;4973114.34443025
15202;VIA;ISONZO;15121;CENTRO;82;;2001-08-31;513;1470687.96945366;4973052.08219019
8901;VIA;DAMIANO CHIESA;15121;CENTRO;5;;2001-08-31;513;1470691.99470089;4973053.95245339
15202;VIA;ISONZO;15121;CENTRO;80;;2001-08-31;513;1470682.23085007;4973054.38470805
15202;VIA;ISONZO;15121;CENTRO;78;;2001-08-31;513;1470676.36435137;4973056.7531414
8901;VIA;DAMIANO CHIESA;15121;CENTRO;3;;2001-08-31;513;1470695.39351768;4973062.52745175
17006;VIA;MARENGO;15121;CENTRO;117;;2001-08-31;513;1470680.49706378;4973065.58119112
15202;VIA;ISONZO;15121;CENTRO;76;;2001-08-31;513;1470652.52710771;4973066.33983801
15202;VIA;ISONZO;15121;CENTRO;74;;2001-08-31;513;1470645.93111587;4973068.99487896
17006;VIA;MARENGO;15121;CENTRO;119;;2001-08-31;513;1470685.36582232;4973070.78293547
8901;VIA;DAMIANO CHIESA;15121;CENTRO;1;;2001-08-31;513;1470698.86435663;4973071.14643433
15202;VIA;ISONZO;15121;CENTRO;72;;2001-08-31;513;1470640.4775983;4973071.18859265
6006;VIA;CAIROLI;15121;CENTRO;8;;2001-08-31;513;1470637.73680026;4973075.58699581
17006;VIA;MARENGO;15121;CENTRO;123;;2001-08-31;513;1470696.50121843;4973075.31203348
17006;VIA;MARENGO;15121;CENTRO;113;;2001-08-31;513;1470653.9600037;4973076.42500908
17006;VIA;MARENGO;15121;CENTRO;121;;2001-08-31;513;1470692.10060389;4973077.12094598
17006;VIA;MARENGO;15121;CENTRO;111;;2001-08-31;513;1470653.77051443;4973082.65454002
6006;VIA;CAIROLI;15121;CENTRO;6;;2001-08-31;513;1470641.28769538;4973084.26872896
17006;VIA;MARENGO;15121;CENTRO;115;;2001-08-31;513;1470665.63680354;4973088.68038013
6006;VIA;CAIROLI;15121;CENTRO;4;;2001-08-31;513;1470642.55656345;4973090.80933475
17006;VIA;MARENGO;15121;CENTRO;109;;2001-08-31;513;1470654.72751642;4973092.0933579
6006;VIA;CAIROLI;15121;CENTRO;2;;2001-08-31;513;1470644.62138791;4973092.77908997
17006;VIA;MARENGO;15121;CENTRO;107;;2001-08-31;513;1470651.35992275;4973093.46563355
17006;VIA;MARENGO;15121;CENTRO;105;;2001-08-31;513;1470647.86254719;4973094.91068202
18601;VIA;GIORGIO MERULA;15121;CENTRO;8;;2001-08-31;517;1469572.05619544;4973021.35019462
18601;VIA;GIORGIO MERULA;15121;CENTRO;6;;2001-08-31;517;1469552.81642011;4973029.60594209
15501;VIA;GIOVANNI LANZA;15121;CENTRO;5;;2001-08-31;517;1469590.30007681;4973034.29133832
15501;VIA;GIOVANNI LANZA;15121;CENTRO;3;;2001-08-31;517;1469592.69593944;4973046.06430294
16904;PIAZZA;GUGLIELMO MARCONI;15121;CENTRO;18;;2001-08-31;517;1469532.73441162;4973055.81429711
15501;VIA;GIOVANNI LANZA;15121;CENTRO;1;;2001-08-31;517;1469595.49076424;4973058.06362002
16904;PIAZZA;GUGLIELMO MARCONI;15121;CENTRO;19;;2001-08-31;517;1469535.63416559;4973060.30044556
16904;PIAZZA;GUGLIELMO MARCONI;15121;CENTRO;21;;2001-08-31;517;1469540.12370213;4973067.11319365
26202;VIA;SAN GIACOMO DELLA VITTORIA;15121;CENTRO;78;;2001-08-31;517;1469543.44599285;4973072.67600232
10506;VIA;JACOPO DAL VERME;15121;CENTRO;9;;2001-08-31;517;1469584.77620068;4973076.56696374
26202;VIA;SAN GIACOMO DELLA VITTORIA;15121;CENTRO;76;;2001-08-31;517;1469546.10346835;4973077.94315496
10506;VIA;JACOPO DAL VERME;15121;CENTRO;7;;2001-08-31;517;1469578.61891507;4973079.68205381
10506;VIA;JACOPO DAL VERME;15121;CENTRO;5;;2001-08-31;517;1469573.71217752;4973082.20747518
26202;VIA;SAN GIACOMO DELLA VITTORIA;15121;CENTRO;74;;2001-08-31;517;1469549.49640164;4973084.50630064
10506;VIA;JACOPO DAL VERME;15121;CENTRO;3;;2001-08-31;517;1469568.48052875;4973084.8339913
10506;VIA;JACOPO DAL VERME;15121;CENTRO;1;;2001-08-31;517;1469564.3739472;4973086.97935885
26202;VIA;SAN GIACOMO DELLA VITTORIA;15121;CENTRO;72;;2001-08-31;517;1469552.18382213;4973089.7035005
16904;PIAZZA;GUGLIELMO MARCONI;15121;CENTRO;29;;2002-06-13;521;1469495.59729307;4973038.90278503
6600;VIA;CARLO CANIGGIA;15121;CENTRO;9;;2001-08-31;521;1469467.09656415;4973039.76603649
6600;VIA;CARLO CANIGGIA;15121;CENTRO;11;;2001-08-31;521;1469463.14662572;4973040.61033903
6600;VIA;CARLO CANIGGIA;15121;CENTRO;13;;2001-08-31;521;1469459.45929426;4973041.43465795
6600;VIA;CARLO CANIGGIA;15121;CENTRO;15;;2001-08-31;521;1469454.97334868;4973042.41454473
6600;VIA;CARLO CANIGGIA;15121;CENTRO;17;;2001-08-31;521;1469450.55895864;4973043.40698974
16904;PIAZZA;GUGLIELMO MARCONI;15121;CENTRO;28;;2002-06-13;521;1469495.91534696;4973044.46758191
6600;VIA;CARLO CANIGGIA;15121;CENTRO;19;;2001-08-31;521;1469445.0952971;4973044.60478919
6600;VIA;CARLO CANIGGIA;15121;CENTRO;23;;2001-08-31;521;1469430.08760446;4973047.85680251
16904;PIAZZA;GUGLIELMO MARCONI;15121;CENTRO;27;;2001-08-31;521;1469497.69486225;4973050.40792868
6600;VIA;CARLO CANIGGIA;15121;CENTRO;25;;2001-08-31;521;1469421.50021019;4973049.762387
6600;VIA;CARLO CANIGGIA;15121;CENTRO;27;;2001-08-31;521;1469411.30960274;4973051.95790632
16904;PIAZZA;GUGLIELMO MARCONI;15121;CENTRO;26;;2001-08-31;521;1469498.13070787;4973055.87037295
25401;CORSO;ROMA;15121;CENTRO;126;;2001-08-31;521;1469409.84546333;4973056.58069399
16904;PIAZZA;GUGLIELMO MARCONI;15121;CENTRO;24;;2001-08-31;521;1469498.50226104;4973060.58380709
15703;VIA;LEGNANO;15121;CENTRO;2;;2001-08-31;521;1469483.09883203;4973066.29076151
25401;CORSO;ROMA;15121;CENTRO;124;;2001-08-31;521;1469413.61065987;4973068.99169376
15703;VIA;LEGNANO;15121;CENTRO;6;;2001-08-31;521;1469470.44841438;4973069.21494215
15703;VIA;LEGNANO;15121;CENTRO;8;;2001-08-31;521;1469466.25731331;4973070.11229763
15703;VIA;LEGNANO;15121;CENTRO;10;;2001-08-31;521;1469460.41221838;4973071.45438484
15703;VIA;LEGNANO;15121;CENTRO;12;;2001-08-31;521;1469453.63836225;4973073.04209803
15703;VIA;LEGNANO;15121;CENTRO;14;;2001-08-31;521;1469446.21350699;4973074.70475484
15703;VIA;LEGNANO;15121;CENTRO;16;;2001-08-31;521;1469439.03691514;4973076.36625524
25401;CORSO;ROMA;15121;CENTRO;122;;2001-08-31;521;1469416.37998274;4973078.12213509
15703;VIA;LEGNANO;15121;CENTRO;18;;2001-08-31;521;1469426.3295087;4973080.21284695
15202;VIA;ISONZO;15121;CENTRO;102;;2001-08-31;519;1470802.31186755;4973006.81614402
15202;VIA;ISONZO;15121;CENTRO;98;;2001-08-31;519;1470779.5249098;4973015.93065933
15202;VIA;ISONZO;15121;CENTRO;96;;2001-08-31;519;1470766.32738752;4973019.83880462
15202;VIA;ISONZO;15121;CENTRO;94;;2001-08-31;519;1470753.98940401;4973026.06634735
15202;VIA;ISONZO;15121;CENTRO;92;;2001-08-31;519;1470750.45861423;4973027.50324006
26905;VIA;SAN GIOVANNI BOSCO;15121;EUROPA;5;;2001-08-31;519;1470824.18852614;4973028.87320289
26905;VIA;SAN GIOVANNI BOSCO;15121;EUROPA;1;;2001-08-31;519;1470825.67445478;4973032.87591023
15202;VIA;ISONZO;15121;CENTRO;90;;2001-08-31;519;1470737.14926487;4973032.91855546
15202;VIA;ISONZO;15121;CENTRO;88;;2001-08-31;519;1470720.89546723;4973038.00469919
17006;VIA;MARENGO;15121;CENTRO;155;;2001-08-31;519;1470825.5160669;4973038.24385332
15202;VIA;ISONZO;15121;CENTRO;86;;2001-08-31;519;1470716.08629434;4973039.90216851
